"Sample","Treatment","UBI","PCaP","PVY"
"H7","H",24.8128433227539,24.9766960144043,"NA"
"H7","H",24.0800838470459,25.3528652191162,"NA"
"H8","H",24.6408081054687,25.1999359130859,"NA"
"H8","H",25.0415534973145,24.7119617462158,"NA"
"H9","H",26.0273494720459,26.4243068695068,"NA"
"H9","H",25.9330139160156,26.6811199188232,"NA"
"H12","H",24.1144561767578,24.749324798584,"NA"
"H12","H",24.3811798095703,24.9761161804199,"NA"
"VIGS3","VIGS",23.038402557373,31.0590591430664,35
"VIGS3","VIGS",23.5571594238281,31.8033809661865,35
"VIGS4","VIGS",26.2618522644043,28.8802089691162,35
"VIGS4","VIGS",24.8214225769043,33.7712554931641,35
"VIGS5","VIGS",34.9458808898926,32.5120849609375,35
"VIGS5","VIGS",34.4015846252441,37.9935073852539,35
"VIGS6","VIGS",26.0711059570312,31.3389358520508,35
"VIGS6","VIGS",24.7249851226807,31.2906646728516,35
"VIGS7","VIGS",22.93337059021,29.002326965332,35
"VIGS7","VIGS",22.3628616333008,28.7136001586914,35
"VIGS8","VIGS",23.9587459564209,26.6172981262207,26.6172981262207
"VIGS8","VIGS",24.3018054962158,26.1488800048828,26.1488800048828
"VIGS9","VIGS",24.4346790313721,25.4163284301758,25.4163284301758
"VIGS9","VIGS",24.6836547851562,25.6309089660645,25.6309089660645
"VIGS10","VIGS",25.0087490081787,25.6466960906982,25.6466960906982
"VIGS10","VIGS",24.5357055664063,25.9655113220215,25.9655113220215
"TRV/PVY4","TRV/PVY",25.6902275085449,24.7728481292725,24.0182495117187
"TRV/PVY4","TRV/PVY",25.4644432067871,26.0212535858154,23.7608432769775
"TRV/PVY5","TRV/PVY",24.8862361907959,25.1991291046143,31.6641464233398
"TRV/PVY5","TRV/PVY",24.7987174987793,25.0962753295898,30.9640522003174
"TRV/PVY6","TRV/PVY",24.8862361907959,25.1991291046143,31.6641464233398
"TRV/PVY6","TRV/PVY",24.7987174987793,25.0962753295898,30.9640522003174
"PVY4","PVY",25.2281951904297,27.2335758209228,26.6831665039062
"PVY4","PVY",25.2312526702881,27.2549743652344,26.8310146331787
"PVY5","PVY",27.3744068145752,28.0129699707031,22.5199279785156
"PVY5","PVY",27.1593532562256,27.965799331665,22.6114864349365
"PVY6","PVY",23.8628692626953,27.4450569152832,24.3276634216309
"PVY6","PVY",24.031909942627,27.6251335144043,24.4008121490479
"H1","H",23.9717445373535,27.2474880218506,"NA"
"H2","H",24.2066669464111,27.1030883789062,"NA"
"H2","H",24.1384201049805,27.0720443725586,"NA"
"H3","H",24.5331859588623,25.6154003143311,"NA"
"H3","H",24.4938774108886,25.7096710205078,"NA"
"VIGS1","VIGS",26.1023750305176,30.294921875,28.149299621582
"VIGS1","VIGS",24.711446762085,30.3694324493408,27.7541923522949
"VIGS2","VIGS",24.7095565795898,31.4358806610107,23.8610782623291
"VIGS2","VIGS",24.6873321533203,31.5232734680176,23.6103267669678
"VIGS3","VIGS",23.8865299224854,26.4730911254882,25.578950881958
"VIGS3","VIGS",23.4833545684814,26.0340480804443,25.7490100860595
"PVY1","PVY",26.4665374755859,27.9735107421875,22.5199279785156
"PVY1","PVY",26.664342880249,28.0968704223633,22.6114864349365
"PVY2","PVY",22.7935485839844,26.2430305480957,24.3276634216309
"PVY2","PVY",22.7937355041504,26.054271697998,24.4008121490479
"PVY3","PVY",24.9644241333007,25.9250061035156,24.5745220184326
"PVY3","PVY",24.5022029876709,25.0379600524902,24.6544437408447
"TRV/PVY1","TRV/PVY",24.850399017334,23.1747589111328,21.0914115905762
"TRV/PVY1","TRV/PVY",24.6825790405273,25.9126796722412,21.7553272247314
"TRV/PVY2","TRV/PVY",23.5095081329346,25.951301574707,23.7523441314697
"TRV/PVY2","TRV/PVY",23.7520847320557,23.1417369842529,23.6467723846435
"TRV/PVY3","TRV/PVY",23.6767444610596,24.5328750610352,23.0795745849609
"TRV/PVY3","TRV/PVY",23.5645561218262,24.2299880981445,23.0672550201416
